time,symbol,type,entry,exit,qty,pnl,note
2025-07-27 16:00:00+00:00,ETHUSDT,ENTRY_LONG,3829.468496,,0.8013043344347788,0.0,trend long|scale=0.69|regScale=1.00|stopPct=0.0289
2025-07-27 20:00:00+00:00,BTCUSDT,ENTRY_LONG,119451.374665,,0.15599752419539892,0.0,trend long|scale=1.93|regScale=1.00|stopPct=0.0103
2025-07-28 00:00:00+00:00,BTCUSDT,ENTRY_LONG,119323.776397,,0.16157982355534017,0.0,trend long|scale=2.41|regScale=0.70|stopPct=0.0075
2025-07-28 04:00:00+00:00,ETHUSDT,ENTRY_LONG,3894.1679,,0.6764007876245388,0.0,trend long|scale=0.88|regScale=0.70|stopPct=0.0204
2025-07-28 12:00:00+00:00,ETHUSDT,STOP_LONG,3894.1679,3812.4869107,0.6764007876245388,-55.2490854964715,
2025-07-28 12:00:00+00:00,BTCUSDT,STOP_LONG,119451.374665,118145.72121875716,0.15599752419539892,-203.67870507107327,
2025-07-28 12:00:00+00:00,ETHUSDT,ENTRY_LONG,3809.252433,,0.5434138340946626,0.0,trend long|scale=0.80|regScale=0.70|stopPct=0.0225
2025-07-28 12:00:00+00:00,BTCUSDT,STOP_LONG,119323.776397,118362.62655620002,0.16157982355534017,-155.3024216867033,
2025-07-29 00:00:00+00:00,ETHUSDT,STOP_LONG,3829.468496,3750.144261964286,0.8013043344347788,-63.56285255853623,
2025-07-29 00:00:00+00:00,ETHUSDT,EXIT,3809.252433,3790.76243,0.5434138340946626,-10.047723422651753,CLOSE_BY_SIGNAL
2025-07-29 00:00:00+00:00,BTCUSDT,ENTRY_LONG,118800.47945500001,,0.13105821617483754,0.0,trend long|scale=1.65|regScale=1.00|stopPct=0.0121
2025-07-29 12:00:00+00:00,BTCUSDT,STOP_LONG,118800.47945500001,117292.7257656143,0.13105821617483754,-197.60350896192034,
2025-07-29 12:00:00+00:00,ETHUSDT,ENTRY_LONG,3762.698471,,0.1841987934759765,0.0,guarded trend pullback long|guard_size_down=0.500|scale=0.45|regScale=1.00|stopPct=0.0442
